product,category,sub_category,brand,sale_price,rating
Stainless Steel Airtight Storage Container - SL-1401,"Kitchen, Garden & Pets",Steel Utensils,Steel Lock,209.0,3.7
Family Sunscreen Lotion SPF 25,Beauty & Hygiene,Skin Care,INATUR ,273.0,1.0
Japanese Cooking Rice-Wine,Gourmet & World Food,Oils & Vinegar,Urban Platter,475.0,1.0
Coated Green Peas - Wasabi,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Cornitos,93.5,4.1
Charminar Basmati Rice/Basmati Akki - Select,"Foodgrains, Oil & Masala",Rice & Rice Products,Kohinoor,399.0,3.9
Hide & Seek Choco Rolls,Snacks & Branded Foods,Biscuits & Cookies,Parle,37.5,4.3
"Hair Fall Control Kit - Oil, Shampoo & Serum",Beauty & Hygiene,Hair Care,Dr Batra's ,630.0,5.0
"Anti-Acne Face Cleanser - With Salyclic Acid, For Oily Skin",Beauty & Hygiene,Men's Grooming,Bombay Shaving Company,236.0,3.0
Gluten-Free Moong Dal Cheela/Dosa Mix,Gourmet & World Food,Cooking & Baking Needs,Graminway,259.0,4.2
Milk Boiler - Aluminium,"Kitchen, Garden & Pets",Cookware & Non Stick,Le Kaviraj,549.0,2.5
Cube Storage Glass Jar,"Kitchen, Garden & Pets",Storage & Accessories,Treo,249.0,4.4
M1 Perfume Spray - For Men,Beauty & Hygiene,Fragrances & Deos,Engage,231.0,4.3
Nicer Dicer,"Kitchen, Garden & Pets",Kitchen Accessories,IRICH,475.0,2.6
Masala - Punjabi Chhole,"Foodgrains, Oil & Masala",Masalas & Spices,Tata Sampann,28.05,4.3
"Microwaveable Plastic Multiutility Bowl - Yellow, New Coral, L2272 YL","Kitchen, Garden & Pets",Storage & Accessories,Princeware,29.0,3.6
Milk Delights Face Wash With Honey For Dry Skin,Beauty & Hygiene,Skin Care,Nivea,86.4,4.2
Instaglow Oxygen Bleach,Beauty & Hygiene,Skin Care,Vlcc,63.0,4.1
Soft Drink - Lime Flavoured,Beverages,Energy & Soft Drinks,Sprite,38.0,4.3
Royce Premium High Quality Pedal Plastic Dustbin / Garbage Bin - Blue,Cleaning & Household,Bins & Bathroom Ware,MVS,219.0,2.8
Dazzle Livid Lilac Dinner Set - White,"Kitchen, Garden & Pets",Crockery & Cutlery,Cello,1229.0,3.8
Tea - English Breakfast,Beverages,Tea,Typhoo,166.0,4.5
Steel Cut Oats,Snacks & Branded Foods,Breakfast Cereals,NUTRIWISH,650.0,3.5
Green Sliced Olives,Gourmet & World Food,Tinned & Processed Food,Habit,180.0,4.0
Ready To Eat - Khatta Meetha Poha,Snacks & Branded Foods,Ready To Cook & Eat,MTR,60.0,4.1
Radiance Boost Orange Aroma Mask,Beauty & Hygiene,Skin Care,Organic Harvest,112.5,2.5
Masala Oats - Veggie Twist,Snacks & Branded Foods,Snacks & Namkeen,Saffola,180.0,4.2
Sunscreen Cream - Sunblock Anti Aging SPF UV 60,Beauty & Hygiene,Skin Care,Soft Touch,475.0,4.5
